Comment,Designator,Footprint,LCSC
BS170,"Q1,Q3,Q5",TO-92_Inline,C111691
4.7u,"C1,C3,C5",CP_Elec_4x5.4,C116399
100,"R1,R5,R9",R_0603_1608Metric,C22775
51,"R11,R3,R7",R_0603_1608Metric,C23197
47k,"R10,R2,R6",R_0603_1608Metric,C25819
0.1u,"C2,C4,C6",CP_Elec_4x5.4,C271438
1.8k,"R12,R4,R8",R_0603_1608Metric,C4177
PT204-6B,"Q2,Q4,Q7",PT2046B,C5133
TSAL4400,"D1,D2,D3",LED_D3.0mm_IRBlack,C94135
TestPoint,TP1,TestPoint_Pad_1.0x1.0mm,
TestPoint,TP3,TestPoint_Pad_1.0x1.0mm,
Conn_02x14_Odd_Even,J1,PinSocket_2x14_P2.54mm_Horizontal,
TestPoint,TP2,TestPoint_Pad_1.0x1.0mm,
