Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,CP_Elec_4x5.4,239.014,-84.074,0.0,top
C2,0.1u,CP_Elec_4x5.4,231.172,-84.074,0.0,top
C3,4.7u,CP_Elec_4x5.4,202.859,-70.231,0.0,top
C4,0.1u,CP_Elec_4x5.4,212.884,-70.104,0.0,top
C5,4.7u,CP_Elec_4x5.4,174.879,-84.074,0.0,top
C6,0.1u,CP_Elec_4x5.4,182.531,-84.074,0.0,top
D1,TSAL4400,LED_D3.0mm_IRBlack,237.161047,-72.099231,-45.0,top
D2,TSAL4400,LED_D3.0mm_IRBlack,205.74,-63.219,0.0,top
D3,TSAL4400,LED_D3.0mm_IRBlack,177.609027,-72.542788,45.0,top
J1,Conn_02x14_Odd_Even,PinSocket_2x14_P2.54mm_Horizontal,206.97,-84.672,90.0,top
Q1,BS170,TO-92_Inline,214.376,-77.851,0.0,top
Q2,PT204-6B,PT2046B,212.21,-63.3595,0.0,top
Q3,BS170,TO-92_Inline,207.645,-77.851,0.0,top
Q4,PT204-6B,PT2046B,182.371479,-67.926428,45.0,top
Q5,BS170,TO-92_Inline,200.66,-77.851,0.0,top
Q7,PT204-6B,PT2046B,232.772428,-67.81852,-45.0,top
R1,100,R_0603_1608Metric,227.203,-70.866,-45.0,top
R2,47k,R_0603_1608Metric,223.774,-78.613,0.0,top
R3,51,R_0603_1608Metric,219.329,-78.359,0.0,top
R4,1.8k,R_0603_1608Metric,223.774,-74.168,0.0,top
R5,100,R_0603_1608Metric,195.961,-73.914,180.0,top
R6,47k,R_0603_1608Metric,195.961,-78.359,180.0,top
R7,51,R_0603_1608Metric,219.329,-74.168,0.0,top
R8,1.8k,R_0603_1608Metric,219.329,-64.262,0.0,top
R9,100,R_0603_1608Metric,186.563,-78.105,0.0,top
R10,47k,R_0603_1608Metric,190.246,-78.105,0.0,top
R11,51,R_0603_1608Metric,195.961,-69.342,180.0,top
R12,1.8k,R_0603_1608Metric,188.341,-73.152,0.0,top
